,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
42,8 av / w 43,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4390.0,2.0,2
43,"1443 York Avenue, Apt 3E","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2995.0,1.0,2
44,"63 Wall Street, Apt 8N","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2938.0,1.0,1
45,"122 Ludlow Street, Apt 1C","Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3100.0,1.0,1
46,"237 Sullivan Street, Apt 1C","Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3450.0,1.0,1
47,600 West 58th St,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5130.0,2.0,3
48,"100 West 31st Street, Apt 43E","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,6105.0,1.0,2
49,"79 Haven Avenue, Apt 34","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,1895.0,1.0,1
50,"100 West 31st Street, Apt 42C","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,5013.0,1.0,1
51,"201 East 30th Street, Apt 25","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,4537.0,2.0,3
52,"10 Barclay Street, Apt 23E","Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,3662.0,1.0,1
53,"100 Luquer Street, Apt 11 BPH","Carroll Gardens, South Brooklyn, Brooklyn",Carroll Gardens,South Brooklyn,Brooklyn,4600.0,2.0,2
54,East 34th Street,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,3890.0,2.0,2
