,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
6184,"330 West 43rd Street, Apt 7","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2095.0,1.0,1
6185,"330 West 43rd Street, Apt 19","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,1995.0,1.0,1
6186,Blue Slip,"Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,6369.0,2.0,2
6187,W St,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3000.0,1.0,0
6188,"380 3rd Avenue, Apt 2","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,4650.0,1.0,3
6189,"380 3rd Avenue, Apt 1C","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,4650.0,1.0,3
6190,"919 Park Place, Apt G10","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,2795.0,2.0,2
6191,"555 Graham Avenue, Apt 2B","Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,2850.0,1.0,2
6192,First Avenue,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,7955.0,2.0,2
6193,W 57th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4881.0,2.0,2
6194,"239 Park Avenue South, Apt 8B","Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,5695.0,1.0,3
6195,"84-70 129th Street, Apt 5","Kew Gardens, Northeastern Queens, Queens",Kew Gardens,Northeastern Queens,Queens,2000.0,1.0,2
6196,"3620 Broadway, Apt 25","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,3150.0,1.0,3
6197,Prime West 72nd Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2200.0,1.0,0
6198,"105 Pinehurst Avenue, Apt 58","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,2800.0,1.0,2
6199,Dekalb Avenue,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,4650.0,2.0,2
6200,Forest Pkwy,"Woodhaven, Southwestern Queens, Queens",Woodhaven,Southwestern Queens,Queens,1800.0,1.0,1
6201,"1134 Fulton St, Apt 4B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2285.0,1.0,0
6202,"101 East 116th Street, Apt 5E","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,2200.0,1.0,1
6203,East 39th St,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,6355.0,2.0,2
6204,"592 3rd Avenue, Apt 4RS","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2650.0,1.0,2
6205,West 180th St,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,3850.0,2.0,4
6206,"35 Morningside Avenue, Apt 42","Morningside Heights, West Harlem, Upper Manhattan, Manhattan",Morningside Heights,West Harlem,Manhattan,2175.0,1.0,1
6207,"29-11 Queens Plaza North, Apt ...","Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3270.0,1.0,1
6208,Vernon Blvd,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,3250.0,1.0,1
6209,Morningside Ave,"Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2130.0,1.0,0
6210,"426 West 49th Street, Apt 1C","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2295.0,1.0,1
6211,Carroll St.,"Carroll Gardens, South Brooklyn, Brooklyn",Carroll Gardens,South Brooklyn,Brooklyn,2700.0,1.0,1
6212,"312 Devoe Street, Apt 1BD","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2700.0,1.0,1
6213,"562 Tenth Avenue, Apt 32J","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5155.0,2.0,3
6214,City Point,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,4250.0,2.0,2
6215,Cheever Place & Kane St,"Cobble Hill, South Brooklyn, Brooklyn",Cobble Hill,South Brooklyn,Brooklyn,3700.0,2.0,2
6216,247 Mulberry Street,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3575.0,1.0,2
6217,"2270 2nd Avenue, Apt 1A","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,1895.0,1.0,1
6218,"114 West 133rd St, Apt 1A","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,1900.0,1.0,1
6219,W 68th st,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,5050.0,1.0,2
6220,W 68th st,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,5050.0,1.0,2
6221,Pearson Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2500.0,1.0,0
6222,"220 West 149th Street, Apt 63","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2200.0,1.0,2
6223,West 11th Street and Sixth,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,5775.0,1.0,2
6224,"280 Crown Street, Apt 3","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,1800.0,1.0,1
6225,"1038 Greene Avenue, Apt 4B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2228.0,1.0,1
6226,E 23rd St.,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3258.0,1.0,1
6227,East 39th,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,6210.0,2.0,3
6228,"310 Graham Avenue, Apt 2A","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,4275.0,1.0,3
6229,"401 East 34th St, Apt N15K","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,5533.0,2.0,1
6230,Skillman Ave,"Sunnyside, Long Island City, Northwestern Queens, Queens",Sunnyside,Long Island City,Queens,2295.0,1.0,1
6231,"300 East 39th Street, Apt 45","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2900.0,1.0,1
6232,"74 Maujer Street, Apt 3B","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,3000.0,1.0,2
6233,Atlantic Ave.,"Cobble Hill, South Brooklyn, Brooklyn",Cobble Hill,South Brooklyn,Brooklyn,4163.0,1.0,2
6234,"400 West 63rd Street, Apt 1512...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3495.0,1.0,1
6235,"140 W 109th St, Apt 4W","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,4200.0,1.0,3
6236,W 67th St.,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,5500.0,1.0,2
6237,Macdougal Street,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,2600.0,1.0,1
6238,"235 East 46th Street, Apt 5K","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,3662.0,1.0,2
6239,E 55th St.,"Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,2681.0,1.0,1
6240,4705 Center blvd,"Hunters Point, Long Island City, Northwestern Queens, Queens",Hunters Point,Long Island City,Queens,2400.0,1.0,0
6241,"68 Clinton Street, Apt 1B","Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4295.0,1.0,2
6242,"127 East 102nd Street, Apt 2","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,3150.0,1.0,3
6243,West 77th St,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,5200.0,1.0,1
6244,"64-65 Wetherole Street, Apt 3","Rego Park, Northwestern Queens, Queens",Rego Park,Northwestern Queens,Queens,1850.0,1.0,1
6245,East 28 street ,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,2400.0,1.0,0
6246, West 103rd and CPW,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,3195.0,1.0,2
6247,"254 East 68th Street, Apt 16B","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,8500.0,2.0,2
6248,West Village,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4585.0,1.0,1
6249,"327 Herkimer Street, Apt 2B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2075.0,1.0,1
6250,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2950.0,1.0,0
6251,Second Avenue,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,6735.0,2.0,3
6252,"325 3rd Avenue, Apt 4E","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,2700.0,1.0,2
6253,E 57th St.,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",Sutton Place,Midtown East,Manhattan,3035.0,1.0,0
6254,Prime FiDi apartments,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4600.0,1.0,2
6255,"370 East 76th Street, Apt C120...","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3000.0,1.0,1
6256,"585 West End Avenue, Apt 11A","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,15000.0,3.0,4
6257,Halletts Point,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,5116.0,2.0,2
6258,Halletts Point,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,5116.0,2.0,2
6259,Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4950.0,1.0,2
6260,"125 Delancey St, Apt 702","Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,6695.0,2.0,3
6261,1 Ocean drive,"Coney Island, Southern Brooklyn, Brooklyn",Coney Island,Southern Brooklyn,Brooklyn,1850.0,1.0,0
6262,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2880.0,1.0,0
6263,"115 South 2nd St, Apt 4","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3995.0,1.0,3
6264,"217 West 14th St, Apt 2F","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,6500.0,2.0,2
6265,"143 Richardson Street, Apt #1","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,2500.0,1.0,1
6266,Hanover Square,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3295.0,1.0,0
6267,"722 Amsterdam Avenue, Apt 2C","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2175.0,1.0,1
6268,Riverside Boulevard,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3980.0,1.0,2
6269,Crown St,"Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,1800.0,1.0,1
6270,"258 Halsey Street, Apt 2","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2550.0,1.0,1
6271,287 Surf Drive,"Harding Park, Clason Point, East Bronx, Bronx",Harding Park,Clason Point,Bronx,3450.0,2.0,3
6272,West 115 Street,"Little Senegal, Central Harlem, Upper Manhattan, Manhattan",Little Senegal,Central Harlem,Manhattan,3900.0,2.0,4
6273,39th Ave,"Woodside, Northwestern Queens, Queens",Woodside,Northwestern Queens,Queens,2600.0,1.0,2
6274,"464 West 44th Street, Apt 6A","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3200.0,1.0,1
6275,East 71st and Third,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,4500.0,1.0,1
6276,"100 Thayer Street, Apt 2B","Fort George, Washington Heights, Upper Manhattan, Manhattan",Fort George,Washington Heights,Manhattan,1825.0,1.0,1
6277,"522 West 136th Street, Apt 3E","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,3400.0,1.0,4
6278,"1134 Fulton St, Apt 4M","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2285.0,1.0,0
6279,"280 Crown Street, Apt C11","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,1000.0,1.0,3
6280,"19-20 Astoria Park South, Apt ...","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1700.0,2.0,1
6281,"86 Marcy Avenue, Apt 5A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3199.0,1.0,1
6282,"229 Chrystie Street, Apt 301","Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,4600.0,1.0,1
6283,West 33rd Street,"Koreatown, Midtown Manhattan, Manhattan",Koreatown,Midtown Manhattan,Manhattan,5900.0,2.0,3
6284,Harrison Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,4895.0,1.0,1
6285,Berry Street,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,2245.0,1.0,0
6286,"75 Wall Street, Apt 37A","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5454.0,2.0,1
6287,"75 Wall Street, Apt 38D","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5454.0,2.0,1
6288,East 80s,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3100.0,1.0,1
6289,"400 West 63rd Street, Apt 1507...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,6040.0,2.0,2
6290,W 15th st ,"Flatiron District, Midtown Manhattan, Manhattan",Flatiron District,Midtown Manhattan,Manhattan,4150.0,1.0,1
6291,West Street ,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2720.0,1.0,0
6292,"370 West 52nd Street, Apt 4B","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2875.0,1.0,2
6293,W 47th St.,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5600.0,3.0,4
6294,"287 Powers Street, Apt 3C","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2900.0,1.0,2
6295,"358 Irving Avenue, Apt 1F","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2375.0,2.0,2
6296,"29-11 Queens Plaza North, Apt ...","Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2880.0,1.0,1
6297,"250 West 93rd Street, Apt 10H","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,4800.0,1.0,1
6298,"159 West 24th St, Apt 6A","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,4195.0,1.0,1
6299,"12 Perry Street, Apt 1A","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3995.0,1.0,1
6300,"66-68 Lenox Ave, Apt 68 LENOX ...",Essex,Essex,,Manhattan,1700.0,1.0,2
6301,"74 Maujer Street, Apt 1B","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,3050.0,1.0,2
6302,XL Studio in Financial Distric...,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2995.0,1.0,0
6303,East 6th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,2420.0,1.0,1
6304,w 68th st,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,4700.0,1.0,2
6305,"690 Fort Washington Avenue, Ap...","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,2250.0,1.0,0
6306,East 2nd St ,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,2099.0,1.0,0
6307,Knickerbocker Avenue and Jeffe...,"Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3100.0,1.0,3
6308,"99 North 4th St, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,7666.0,3.0,5
6309,"380 3rd Avenue, Apt 4","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,2995.0,1.0,2
6310, E 16,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,4400.0,1.0,3
6311,145 Fourth Ave,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3700.0,1.0,0
6312,885 9th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2700.0,1.0,1
6313,"460 East 115th Street, Apt C","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,1200.0,1.0,0
6314,"235 East 50th Street, Apt 17","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,5995.0,2.0,4
6315,East 83rd Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2650.0,1.0,1
6316,West 34 street ,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2550.0,1.0,0
6317,"238 Central Avenue, Apt 2FLB","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2300.0,1.0,2
6318,"345 West 53rd Street, Apt B","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2000.0,1.0,0
6319,"355 South End Avenue, Apt 18A","Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,2593.0,1.0,0
6320,"522 West 136th Street, Apt 2E","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,3400.0,1.0,4
6321,"260 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3185.0,1.0,2
6322,"134 Orchard Street, Apt 3","Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3995.0,1.0,2
6323,"608 Franklin Ave, Apt 801","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,2985.0,1.0,1
6324,E 86th St.,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4750.0,2.0,2
6325,Eighth Avenue,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,4200.0,2.0,2
6326,West End Avenue,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,6000.0,2.0,1
6327,E 70th St.,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,5595.0,2.0,3
6328,"520 West 48th Street, Apt N","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4800.0,2.0,2
6329,28th Ave,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2100.0,1.0,1
6330,Worth Street,"Civic Center, Downtown Manhattan, Manhattan",Civic Center,Downtown Manhattan,Manhattan,1600.0,1.0,0
6331,Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2722.0,1.0,0
6332,"530 East 89 Street, Apt 2F","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2065.0,1.0,1
6333,"248 Mckibbin St, Apt 1S","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2612.0,1.0,0
6334,Blue Slip,"Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,4098.0,1.0,1
6335,"325 Kent Avenue, Apt 355","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,2553.0,1.0,0
6336,West 43rd,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5340.0,2.0,2
6337,"60-80 Myrtle Avenue, Apt 2","Ridgewood, Northwestern Queens, Queens",Ridgewood,Northwestern Queens,Queens,2500.0,1.0,2
6338,Blue Slip,"Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,3263.0,1.0,0
6339,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4600.0,1.0,1
6340,"9 Orange St, Apt 11B","Brooklyn Heights, Northwestern Brooklyn, Brooklyn",Brooklyn Heights,Northwestern Brooklyn,Brooklyn,3750.0,1.0,1
6341,"239 East 5th Street, Apt 4E","East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,4800.0,1.0,3
6342,"53 Pitt Street, Apt 7B","Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4650.0,2.0,3
6343,E 18th st,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,3795.0,1.0,1
6344,19 Dutch Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3750.0,1.0,0
6345,West 19th St,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,5200.0,2.0,3
6346,"260 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3070.0,1.0,2
6347,"260 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3093.0,1.0,2
6348,"436 Mac Donough Street, Apt 7","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2000.0,1.0,1
6349,"60 Riverside Boulevard, Apt 81...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,4139.0,1.0,1
6350,Second Ave between 71st & 72nd...,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3495.0,1.0,2
6351,"Luxury Tribeca, Leonard Street...","Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,5395.0,2.0,2
6352,Mercer Street,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,8032.0,2.0,2
6353,"414 West 51st St, Apt 2","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,8500.0,2.0,4
6354,East 35th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2850.0,1.0,0
6355,"350 West 43rd Street, Apt 7J","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4415.0,2.0,2
6356,Allen Street,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,2450.0,1.0,2
6357,"400 Chambers St, Apt 5D","Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,8295.0,2.0,2
6358,Parsons Blvd and 26th Street,"Flushing, Northeastern Queens, Queens",Flushing,Northeastern Queens,Queens,2450.0,1.0,3
6359,"West 42nd Street,","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3115.0,1.0,0
6360,"115 Stanwix Street, Apt 1BD","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2400.0,1.0,1
6361,"260 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3025.0,1.0,2
6362,Parsons Blvd and 26th Street,"Flushing, Northeastern Queens, Queens",Flushing,Northeastern Queens,Queens,2450.0,1.0,3
6363,"West 42nd Street,","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3115.0,1.0,0
6364,"208 East 25th Street, Apt 43","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3245.0,1.0,1
6365,E 47th St,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,4910.0,2.0,2
6366,"230 West 55th St, Apt 23D","Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,5995.0,2.0,3
6367,Spruce Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,18995.0,3.0,3
6368,South 1st St.,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,4352.0,1.0,1
6369,"236 East 36th Street, Apt 5E","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2725.0,1.0,0
6370,"75 Wall Street, Apt 22R","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3950.0,1.0,0
6371,West 16 street ,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,6500.0,2.0,3
6372,East 96th Street,"East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,3999.0,1.0,2
